initamp1,initamp2,finalamp1,finalamp2,fvalue,iterations
4.59E-05,0.081377,4.59E-05,1.9564,-77.934,23
3.37E-05,0.081378,3.37E-05,1.9564,-77.934,23
0.00011007,0.081364,0.00011007,1.9564,-77.934,23
3.52E-05,0.08138,3.52E-05,1.9564,-77.934,23
-8.12E-06,0.081379,-8.12E-06,1.9564,-77.934,23
-2.10E-05,0.081382,-2.10E-05,1.9564,-77.934,23
6.15E-05,0.081375,6.15E-05,1.9564,-77.934,23
-8.43E-05,0.081375,-8.43E-05,1.9564,-77.934,23
-7.03E-05,0.081376,-7.03E-05,1.9564,-77.934,23
-0.00013589,0.081356,-0.00013589,1.9564,-77.934,23
7.49E-06,0.081379,7.49E-06,1.9564,-77.934,23
3.76E-05,0.081378,3.76E-05,1.9564,-77.934,23
8.92E-05,0.081377,8.92E-05,1.9564,-77.934,23
2.35E-05,0.081382,2.35E-05,1.9564,-77.934,23
-0.00010994,0.081365,-0.00010994,1.9564,-77.934,23
5.12E-05,0.081379,5.12E-05,1.9564,-77.934,23
-0.00015422,0.081336,-0.00015422,1.9563,-77.934,23
1.23E-05,0.081379,1.23E-05,1.9564,-77.934,23
-0.00016868,0.081382,-0.00016868,1.9564,-77.934,23
-1.40E-06,0.081382,-1.40E-06,1.9564,-77.934,23
-0.00015415,0.081336,-0.00015415,1.9563,-77.934,23
-6.96E-06,0.081377,-6.96E-06,1.9564,-77.934,23
0.00016177,0.081323,0.00016177,1.9563,-77.934,23
0.00013797,0.081351,0.00013797,1.9564,-77.934,23
0.00015945,0.081335,0.00015945,1.9563,-77.934,23
-0.00014392,0.081353,-0.00014392,1.9564,-77.934,23
5.56E-05,0.081381,5.56E-05,1.9564,-77.934,23
-2.06E-05,0.081382,-2.06E-05,1.9564,-77.934,23
-5.67E-05,0.081379,-5.67E-05,1.9564,-77.934,23
-0.00014136,0.081351,-0.00014136,1.9564,-77.934,23
-0.00015414,0.081325,-0.00015414,1.9563,-77.934,23
0.00012539,0.081362,0.00012539,1.9564,-77.934,23
1.02E-05,0.08138,1.02E-05,1.9564,-77.934,23
-0.00010189,0.081379,-0.00010189,1.9564,-77.934,23
0.00013594,0.081357,0.00013594,1.9564,-77.934,23
0.00016244,0.08135,0.00016244,1.9564,-77.934,23
-6.22E-05,0.081376,-6.22E-05,1.9564,-77.934,23
-3.58E-05,0.081379,-3.58E-05,1.9564,-77.934,23
0.00012669,0.081377,0.00012669,1.9564,-77.934,23
-0.00010067,0.081365,-0.00010067,1.9564,-77.934,23
-5.69E-05,0.081379,-5.69E-05,1.9564,-77.934,23
-0.00011332,0.081365,-0.00011332,1.9564,-77.934,23
-8.15E-05,0.081378,-8.15E-05,1.9564,-77.934,23
0.0001151,0.081369,0.0001151,1.9564,-77.934,23
6.75E-05,0.081379,6.75E-05,1.9564,-77.934,23
-0.00013549,0.081356,-0.00013549,1.9564,-77.934,23
2.05E-05,0.081379,2.05E-05,1.9564,-77.934,23
0.00016573,0.081342,0.00016573,1.9563,-77.934,23
