initamp1,initamp2,finalamp1,finalamp2,finalenergy,
-0.00010067,0.08136479,-0.00010067,1.95636479,-77.93340148,18
-0.00010067,1.95636479,-0.00010067,1.95636479,-77.92967424,18
-0.00010067,1.95636479,-0.00010067,1.95636479,-77.93248234,18
-5.69E-05,0.081378863,-5.69E-05,1.956378863,-77.93183822,18
-5.69E-05,1.956378863,-5.69E-05,1.956378863,-77.92876699,18
-5.69E-05,1.956378863,-5.69E-05,1.956378863,-77.93231429,18
-0.00011332,0.0813654,-0.00011332,1.9563654,-77.93010246,18
-0.00011332,1.9563654,-0.00011332,1.9563654,-77.92959859,18
-0.00011332,1.9563654,-0.00011332,1.9563654,-77.92992235,18
-8.15E-05,0.081377729,-0.001243416,2.028682304,-77.92927583,18
-0.001243416,2.028682304,-0.001243416,2.028682304,-77.92648481,18
-0.001243416,2.028682304,-0.001243416,2.028682304,-77.9284653,18
0.0001151,0.08136852,0.0001151,1.95636852,-77.93043876,18
0.0001151,1.95636852,0.0001151,1.95636852,-77.93298397,18
0.0001151,1.95636852,0.0001151,1.95636852,-77.93168409,18
6.75E-05,0.081378607,6.75E-05,1.956378607,-77.93213237,18
6.75E-05,1.956378607,6.75E-05,1.956378607,-77.93249886,18
6.75E-05,1.956378607,6.75E-05,1.956378607,-77.93244932,18
-0.00013549,0.08135638,-0.00013549,1.95635638,-77.93066068,18
-0.00013549,1.95635638,-0.00013549,1.95635638,-77.93196649,18
-0.00013549,1.95635638,-0.00013549,1.95635638,-77.93297936,18
2.05E-05,0.081378673,2.05E-05,1.956378672,-77.93244111,18
2.05E-05,1.956378672,2.05E-05,1.956378672,-77.93166874,18
2.05E-05,1.956378672,2.05E-05,1.956378672,-77.9314345,18
