[ 0.00017573; -0.00079859]
[ 0.00019489; -0.00083255]
[0.00070028; 0.00014049]
[0.00013244; 0.00048626]
[-0.00201307; -0.00044229]
[-8.51679404e-05;  1.30847547e-03]
[ 0.00037088; -0.00064898]
[-0.00050615; -0.0009956 ]
[-0.00041237; -0.00162825]
[-0.00094324;  0.00032764]
[ 2.18158076e-05; -5.79116536e-04]
[ 0.00020098; -0.00176315]
[ 0.0003404 ; -0.00079339]
[8.26631248e-05; 3.98180116e-04]
[-0.00070565; -0.00057064]
[ 0.0002043 ; -0.00041894]
[-0.00152865;  0.00088525]
[3.94911320e-05; 4.30113777e-04]
[-0.0006364 ;  0.00099897]
[-1.78084378e-05;  1.01425528e-03]
[-0.00149416;  0.00126497]
[ 0.00195396; -0.00044919]
[ 0.00184832; -0.00062872]
[ 0.0009991; -0.0018925]
[0.00145638; 0.00027484]
[-0.0010276 ;  0.00067474]
[0.00021737; 0.00213352]
[-6.98349618e-05;  1.03277898e-03]
[-0.00020188; -0.00036312]
[-0.00103128;  0.00163663]
[-0.00182816;  0.0007816 ]
[0.00080508; 0.00030148]
[ 3.62547047e-05; -2.51827902e-05]
[-0.00038288;  0.00199145]
[ 0.0009009; -0.0025735]
[1.23142793e-03; 9.42049788e-05]
[-0.000359  ; -0.00097366]
[-0.00012713;  0.0006303 ]
[0.00047954; 0.00047067]
[-6.43989361e-04;  6.26826886e-05]
[-0.00020724; -0.00040125]
[-6.68114978e-04; -7.07918331e-05]
[-0.00031016;  0.00132498]
[ 0.00070625; -0.00031021]
[0.00025654; 0.00030399]
[-0.00095529;  0.00058552]
[ 7.99512468e-05; -6.51062001e-04]
[0.00140739; 0.00183825]
[-0.00045956;  0.00040593]
[ 3.72367213e-04; -8.13904192e-05]
