initamp1,initamp2,finalamp1,finalamp2,finalenergy,
-0.114631033,0.06563974,-0.114631033,1.94063974,-77.93211899,18
-0.114631033,1.94063974,-0.114631033,1.94063974,-77.93211907,18
0.442737064,-0.047749534,-3.307262936,-3.797749534,-77.93006429,14
-3.307262936,-3.797749534,-0.807262936,-3.797749534,-77.93198705,14
0.611498477,-0.295350366,-3.062873635,-3.985814433,-77.86271751,13
-3.062873635,-3.985814433,0.687126365,-3.985814433,-77.91934639,14
0.549975731,0.045908187,-4.492296369,4.770883734,-77.90888345,15
-4.492296369,4.770883734,-3.242296369,4.770883734,-77.93118361,17
0.848460193,0.393846123,0.848460193,9.768846123,-77.90032478,17
0.848460193,9.768846123,0.223460193,9.768846123,-77.92350066,15
0.415781354,-0.578282395,-4.584218646,-1.047032395,-77.91352179,15
-4.584218646,-1.047032395,-0.83848204,-1.099382976,-77.93414093,18
-0.554791822,-0.629415216,4.132708178,-1.566915216,-77.91521828,15
4.132708178,-1.566915216,2.873753291,-1.586869309,-77.92286147,14
0.557451841,-0.346670851,-4.490878521,-1.315080241,-77.88003795,15
-4.490878521,-1.315080241,-0.115878521,-1.315080241,-77.92943652,17
-0.157300636,-0.364936198,4.842699364,-0.833686198,-77.9218923,15
4.842699364,-0.833686198,4.842699364,-0.833686198,-77.926585,15
-0.173051788,-0.322928259,4.826948212,-0.791678259,-77.9236969,15
4.826948212,-0.791678259,4.826948212,-0.791678259,-77.92467485,15
-0.712629322,-0.196545566,1.787370678,-2.071545566,-77.88870596,17
1.787370678,-2.071545566,1.162370678,5.428454434,-77.93582561,18
0.866619993,-0.478297232,1.521845665,5.538462592,-77.93118993,16
1.521845665,5.538462592,1.521845665,5.538462592,-77.93118977,18
0.231860799,-0.219200985,-3.547521158,-3.976249673,-77.88655477,15
-3.547521158,-3.976249673,-1.047521158,-3.976249673,-77.93271647,14
-0.326107114,-0.241143844,4.986392886,-1.178643844,-77.92314828,15
4.986392886,-1.178643844,0.611392886,-1.178643844,-77.93478277,18
-0.32886885,-0.424182776,4.67113115,-0.892932776,-77.91828618,15
4.67113115,-0.892932776,4.98363115,-0.892932776,-77.92224882,15
-0.53323725,-0.1203977,3.21676275,-3.8703977,-77.92717817,14
3.21676275,-3.8703977,3.21676275,-3.8703977,-77.92717788,15
0.474898803,0.277513311,2.974898803,-1.597486689,-77.93427359,17
2.974898803,-1.597486689,2.974898803,-1.597486689,-77.93427355,16
0.714292755,-0.888376328,-1.160707245,-0.888376328,-77.92819034,18
-1.160707245,-0.888376328,1.339292755,-0.888376328,-77.92961379,18
0.186894234,0.827411779,-0.438105766,8.327411779,-77.93388305,16
-0.438105766,8.327411779,-0.438105766,8.327411779,-77.93388302,16
0.098715505,-0.81112004,0.098715505,6.68887996,-77.93256245,17
0.098715505,6.68887996,0.098715505,6.68887996,-77.93256243,17
-0.527981114,-0.191888961,3.222018886,-3.941888961,-77.9194779,14
3.222018886,-3.941888961,0.722018887,-3.941888961,-77.93072571,14
-0.259224561,-0.743873299,-0.259224561,6.756126701,-77.92198693,17
-0.259224561,6.756126701,-0.259224561,6.756126701,-77.92198671,17
-0.411435973,0.827921284,-0.411435973,8.327921284,-77.93343099,16
-0.411435973,8.327921284,-0.411435973,8.327921284,-77.93343112,16
-0.289154506,-1.178848721,0.335845494,-1.178848721,-77.93444415,18
0.335845494,-1.178848721,0.335845494,-1.178848721,-77.93444414,18
0.049191241,0.725745802,0.049191241,8.225745802,-77.9346518,16
0.049191241,8.225745802,0.049191241,8.225745802,-77.9346518,16
-0.287073893,-0.851440933,-0.287073893,6.648559067,-77.92736536,17
-0.287073893,6.648559067,-0.287073893,6.648559067,-77.92736545,17
-0.528798571,-0.015167304,3.221201429,-3.765167304,-77.9333422,14
3.221201429,-3.765167304,3.221201429,-3.765167304,-77.93334215,15
-0.52756514,0.149516238,-3.02756514,-1.725483762,-77.9313491,17
-3.02756514,-1.725483762,-3.02756514,-1.725483762,-77.93134926,16
-0.519796075,-0.471136255,4.167703925,-1.408636255,-77.91756248,15
4.167703925,-1.408636255,3.230203925,-1.408636255,-77.92168742,15
0.243145664,0.139850972,0.243145664,2.014850972,-77.91963835,18
0.243145664,2.014850972,0.243145664,2.014850972,-77.91963835,18
