initamp1,initamp2,finalamp1,finalamp2,finalenergy,
-0.000875421,-0.000868519,-0.000875421,1.874131481,-77.9333288,18
-0.001232416,-0.000501245,-0.001232416,1.874498755,-77.93335129,18
0.001561954,0.001213583,0.001561954,1.876213583,-77.9334291,18
0.000263002,-0.000225747,0.000263002,1.874774253,-77.9333544,18
-0.000308577,0.001846867,-0.000308577,1.876846867,-77.9334669,18
-0.000776416,0.000407171,-0.000776416,1.875407171,-77.93338214,18
0.001132322,-0.000332472,0.001132322,1.874667528,-77.93335158,18
0.000657294,0.000169147,0.000657294,1.875169147,-77.93337471,18
0.001236469,0.000341955,0.001236469,1.875341955,-77.93338198,18
-0.000469498,-0.000835282,-0.000469498,1.874164718,-77.93332081,18
0.000742074,0.000458477,0.000742074,1.875458477,-77.93337692,18
-0.000109846,-0.001154217,-0.000109846,1.873845783,-77.93328199,18
-0.001302671,0.001181983,-0.001302671,1.876181983,-77.93342625,18
-0.001726338,-0.001047692,-0.001726338,1.873952308,-77.93332747,18
-0.000762274,-3.52E-05,-0.000762274,1.874964846,-77.93336676,18
0.000873447,0.000990345,0.000873447,1.875990345,-77.93341851,18
0.000183542,0.00147697,0.000183542,1.87647697,-77.93343812,18
0.000722827,0.000885248,0.000722827,1.875885248,-77.93341989,18
-0.001644582,-0.00038651,-0.001644582,1.87461349,-77.93332861,18
-0.002434879,-0.000789846,-0.002434879,1.874210154,-77.93331118,18
-0.001162331,-0.000941758,-0.001162331,1.874058242,-77.93332083,18
-0.00056575,-0.000498847,-0.00056575,1.874501153,-77.93333475,18
-0.00057898,-6.06E-05,-0.00057898,1.874939362,-77.93336351,18
-0.000358622,0.0004682,-0.000358622,1.8754682,-77.93339587,18
0.000435707,0.000216903,0.000435707,1.875216903,-77.93337553,18
-1.03E-06,-0.000758236,-1.03E-06,1.874241764,-77.93332197,18
-0.002951891,0.00109645,-0.002951891,1.87609645,-77.93344213,18
0.000248571,-5.99E-06,0.000248571,1.874994005,-77.9333656,18
-0.001238782,-0.000825144,-0.001238782,1.874174856,-77.93331946,18
-0.000687071,0.000108461,-0.000687071,1.875108461,-77.93336923,18
