initamp1,initamp2,finalamp1,finalamp2,finalenergy,
-0.000121638,0.000530295,-0.000121638,1.875530295,-77.93189252,18
0.00083246,-0.000178238,0.00083246,1.874821762,-77.93192691,18
-2.03E-05,0.000360599,-2.03E-05,1.875360599,-77.92943207,18
-0.001251648,-0.001016379,-0.001251648,1.873983621,-77.93171711,18
0.001386178,0.001025825,0.001386178,1.876025825,-77.93067741,18
0.000445522,0.000775182,0.000445522,1.875775182,-77.92781004,18
0.000867229,-0.0003876,0.000867229,1.8746124,-77.92800401,18
0.001740672,0.001582659,0.001740672,1.876582659,-77.92830295,18
-0.000473714,-5.24E-05,-0.000473714,1.874947639,-77.93265112,18
0.000565435,0.000691493,0.000565435,1.875691493,-77.93120488,18
-0.001243105,0.000273254,-0.001243105,1.875273254,-77.92993741,18
0.000894838,0.000613271,0.000894838,1.875613271,-77.92976436,15
0.001138515,-0.00159613,0.001138515,1.87340387,-77.93057184,18
0.000644459,-0.001105129,0.000644459,1.873894871,-77.93259108,18
-0.001174265,0.000568955,-0.001174265,1.875568955,-77.93269894,18
0.000668208,-0.000717412,0.000668208,1.874282588,-77.928809,18
-0.000979291,-0.001311328,-0.000979291,1.873688672,-77.9296989,18
0.000419329,3.88E-05,0.000419329,1.875038776,-77.93190434,18
-0.000450141,-0.000755497,-0.000450141,1.874244503,-77.93043283,18
0.000245072,7.10E-05,0.000245072,1.87507103,-77.92865901,18
0.000499938,9.13E-05,0.000499938,1.875091287,-77.93118746,18
-0.000328285,0.000484209,-0.000328285,1.875484209,-77.92816628,18
0.000360519,-0.000432453,0.000360519,1.874567547,-77.93139469,18
-0.000661006,-0.001261103,-0.000661006,1.873738897,-77.92695521,18
0.001579341,0.000752438,0.001579341,1.875752438,-77.92943905,18
0.001809071,-0.000777569,0.001809071,1.874222431,-77.93106048,18
-0.00058903,-0.000548702,-0.00058903,1.874451298,-77.93026902,18
-0.001604119,-0.000453664,-0.001604119,1.874546336,-77.93064275,18
-0.001450456,0.001714736,-0.001450456,1.876714736,-77.92830458,18
-0.001238166,-0.002476464,-0.001238166,1.872523536,-77.92854962,18
