initamp1,initamp2,finalamp1,finalamp2,finalenergy,
-0.13833285,-0.990385795,0.987707429,-0.995276884,-77.93126133,23
0.987707429,-0.995276884,0.987707429,-0.995276884,-77.93126133,21
0.65586435,0.754878768,-0.022384277,0.409921725,-77.93304019,23
-0.022384277,0.409921725,-0.022384277,0.347421725,-77.93456198,23
0.949914741,0.312509175,0.012414741,0.312509175,-77.93372787,23
0.012414741,0.312509175,0.012414741,0.375009175,-77.9345233,23
0.846795904,-0.531917942,0.860034664,-0.802880211,-77.90441533,22
0.860034664,-0.802880211,1,-1,-77.93170561,23
0.636624687,-0.771173786,0.895735707,-0.797554214,-77.90608464,22
0.895735707,-0.797554214,1,-1,-77.93170561,23
0.999334836,-0.036467596,-0.000665164,0.463532404,-77.92865407,25
-0.000665164,0.463532404,-0.000665164,0.338532404,-77.93461991,23
-0.999910684,-0.013365059,8.93E-05,0.236634941,-77.92734481,24
8.93E-05,0.236634941,8.93E-05,0.361634941,-77.93475803,23
-0.987334299,0.158653658,-1,-1,-77.93170565,23
-1,-1,-1,-1,-77.93170565,21
-0.573045967,0.819523227,0.169138802,0.321502464,-77.92413124,23
0.169138802,0.321502464,-0.005704468,0.379289967,-77.93446773,23
0.057862452,0.998324565,-0.003111984,0.479040622,-77.92680231,25
-0.003111984,0.479040622,-0.003111984,0.354040622,-77.93477217,23
-0.263393048,0.964688604,-0.007924909,0.461819491,-77.92882431,23
-0.007924909,0.461819491,-0.007924909,0.336819491,-77.93456461,23
-0.091587428,0.995797039,0.049744687,0.455179701,-77.92876339,24
0.049744687,0.455179701,0.049744687,0.330179701,-77.93354206,23
0.082434538,0.996596482,0.082434538,0.246596482,-77.92606911,24
0.082434538,0.246596482,0.079995414,0.376208326,-77.9323274,23
-0.991198899,-0.132381052,0.008801101,0.367618948,-77.93467349,23
0.008801101,0.367618948,0.008801101,0.367618948,-77.93467349,23
-0.498693443,-0.866778432,1,-1,-77.93170561,23
1,-1,1,-1,-77.93170561,21
0.989627741,-0.143655612,-0.010372259,0.356344388,-77.93473861,23
-0.010372259,0.356344388,-0.010372259,0.356344388,-77.93473861,23
0.9693133,-0.245828652,0.9693133,-0.995828652,-77.93098071,23
0.9693133,-0.995828652,0.9849383,-0.995828652,-77.9312467,22
0.998330332,-0.057762868,-0.001669668,0.442237132,-77.93081045,23
-0.001669668,0.442237132,0.487385482,0.438596071,-77.93379269,25
0.50758656,0.861600769,-0.234650177,0.362873426,-77.91636779,22
-0.234650177,0.362873426,0.015349824,0.362873426,-77.9346661,23
0.999466765,0.032652507,0.995508735,-0.964636043,-77.92951141,22
0.995508735,-0.964636043,0.745508735,-0.964636043,-77.92212159,22
0.891937253,-0.452159195,0.954437253,-0.952159195,-77.92754843,21
0.954437253,-0.952159195,0.954437253,-0.999034195,-77.93090973,25
0.978006953,-0.208572292,-0.021993048,0.291427708,-77.93240714,23
-0.021993048,0.291427708,-0.528117069,-0.975791329,-77.91629483,22
0.793488883,0.608584746,-0.038968965,0.254048662,-77.92878126,23
-0.038968965,0.254048662,-0.038968965,0.379048662,-77.93395579,23
-0.928640921,0.370979839,-0.05364092,0.370979839,-77.93364394,23
-0.05364092,0.370979839,0.00885908,0.370979839,-77.93462426,23
0.999552864,-0.029901054,-0.000447136,-0.279901054,-77.90479911,13
-0.000447136,-0.279901054,-0.009228535,0.348681214,-77.93472055,22
-0.205596775,0.97863679,-0.705596775,-0.02136321,-77.90241302,23
-0.705596775,-0.02136321,0.044403226,0.47863679,-77.90934612,21
0.985026563,0.172402641,-0.014973437,0.672402641,-77.93446182,23
-0.014973437,0.672402641,-0.014973437,0.047402641,-77.92607841,21
-0.234277287,-0.972169817,-0.734277287,0.027830183,-77.92559583,22
-0.734277287,0.027830183,0.265722714,0.152830183,-77.92917248,23
-0.997668919,-0.068240223,-0.997668919,0.931759777,-77.89089001,24
-0.997668919,0.931759777,-0.498785094,0.668971935,-77.85398402,22
