initamp1,initamp2,finalamp1,finalamp2,finalenergy,
-0.13833285,-0.990385795,0.987707429,-0.995276884,-77.93126133,23
0.987707429,-0.995276884,0.987707429,-0.995276884,-77.93126133,21
0.65586435,0.754878768,-0.022384277,0.409921725,-77.93304019,23
-0.022384277,0.409921725,-0.022384277,0.347421725,-77.93456198,23
0.949914741,0.312509175,0.012414741,0.312509175,-77.93372787,23
0.012414741,0.312509175,0.012414741,0.375009175,-77.9345233,23
0.846795904,-0.531917942,0.860034664,-0.802880211,-77.90441533,22
0.860034664,-0.802880211,1,-1,-77.93170561,23
0.636624687,-0.771173786,0.895735707,-0.797554214,-77.90608464,22
0.895735707,-0.797554214,1,-1,-77.93170561,23
