initamp1,initamp2,finalamp1,finalamp2,finalenergy,
0.375424677,-0.926852907,-4.937075323,-0.926852907,-77.93011746,20
-4.937075323,-0.926852907,-4.937075323,-0.926852907,-77.92819019,19
-4.937075323,-0.926852907,-4.937075323,-0.926852907,-77.9256363,19
0.733271087,-0.679936404,3.233271087,6.820063596,-77.92956822,22
3.233271087,6.820063596,3.233271087,6.820063596,-77.93017364,21
3.233271087,6.820063596,3.233271087,6.820063596,-77.92847388,21
0.962492467,0.271308408,0.958427295,9.649515443,-77.90734959,19
0.958427295,9.649515443,-0.314944864,9.684150119,-77.91898549,20
-0.314944864,9.684150119,-0.002444864,9.684150119,-77.92578918,19
-0.205328299,0.978693154,-0.205328299,6.603693154,-77.92477649,19
-0.205328299,6.603693154,0.107171701,6.603693154,-77.92835141,22
0.107171701,6.603693154,0.107171701,6.603693154,-77.92735267,22
-0.128752246,-0.991676792,4.871247754,-0.991676792,-77.92657801,19
4.871247754,-0.991676792,4.871247754,-0.991676792,-77.92581644,19
4.871247754,-0.991676792,4.871247754,-0.991676792,-77.92799757,19
-0.258074646,0.96612498,0.991925354,9.40362498,-77.92816716,20
0.991925354,9.40362498,0.991925354,8.46612498,-77.92856941,20
0.991925354,8.46612498,0.991925354,8.93487498,-77.9368474,21
-0.237892429,-0.971291507,4.762107571,-0.971291507,-77.9276091,19
4.762107571,-0.971291507,4.762107571,-0.971291507,-77.92422408,19
4.762107571,-0.971291507,4.762107571,-0.971291507,-77.92671026,19
0.999742459,0.022693972,0.997525215,5.651015899,-77.90889601,20
0.997525215,5.651015899,-1.502474785,5.651015899,-77.92584982,23
-1.502474785,5.651015899,-1.502474785,5.182265899,-77.92694015,23
-0.855227832,0.518252212,-0.203081907,8.029150886,-77.91229047,23
-0.203081907,8.029150886,-0.188468012,8.080768745,-77.92035417,22
-0.188468012,8.080768745,0.124031988,8.080768745,-77.9257926,22
-0.445843996,0.895110681,0.811348723,8.401356385,-77.93095437,21
0.811348723,8.401356385,0.811348723,8.401356385,-77.93448155,21
0.811348723,8.401356385,0.811348723,8.401356385,-77.9310238,21
0.966855442,0.255324409,0.966855442,8.692824409,-77.93774338,22
0.966855442,8.692824409,0.966855442,8.692824409,-77.93680359,21
0.966855442,8.692824409,0.966855442,8.692824409,-77.93789912,21
0.702650484,-0.711535169,3.202650484,6.788464831,-77.93091146,22
3.202650484,6.788464831,3.202650484,6.788464831,-77.92515722,21
3.202650484,6.788464831,2.890150484,6.788464831,-77.92472789,21
0.337403574,0.941360095,-0.912596426,8.441360095,-77.92751219,20
-0.912596426,8.441360095,-0.912596426,8.910110095,-77.93583501,21
-0.912596426,8.910110095,-0.912596426,5.160110095,-77.93495313,22
0.508980951,0.860777783,-0.741019049,8.360777783,-77.93214332,21
-0.741019049,8.360777783,-0.741019049,8.360777783,-77.9288611,21
-0.741019049,8.360777783,0.508980951,8.360777783,-77.93244929,20
0.94963178,0.313367967,0.94963178,8.750867967,-77.93823532,22
0.94963178,8.750867967,0.94963178,8.750867967,-77.9348152,21
0.94963178,8.750867967,0.94963178,8.750867967,-77.93565189,21
0.042143007,0.999111589,0.042143007,6.624111589,-77.93012037,19
0.042143007,6.624111589,0.042143007,6.624111589,-77.93206991,22
0.042143007,6.624111589,0.042143007,6.624111589,-77.92920901,22
0.999141475,0.041428417,1.624141475,5.666428417,-77.9129057,21
1.624141475,5.666428417,1.624141475,5.197678417,-77.92508316,23
1.624141475,5.197678417,-0.875858525,5.197678417,-77.93388824,23
0.982580406,-0.185837953,1.007730918,3.424435128,-77.90684025,19
1.007730918,3.424435128,1.007730918,-3.606814872,-77.93679732,20
1.007730918,-3.606814872,1.007730918,-3.606814872,-77.93584381,21
-0.673060463,0.739587462,-0.048060463,8.239587462,-77.9326424,20
-0.048060463,8.239587462,-0.360560463,8.239587462,-77.9327999,21
-0.360560463,8.239587462,-0.340541719,8.288211876,-77.93159636,21
0.904498897,-0.426475961,0.913185342,5.174624196,-77.93439367,22
0.913185342,5.174624196,0.913185342,5.174624196,-77.93547847,23
0.913185342,5.174624196,0.913185342,5.174624196,-77.93479533,23
-0.52916829,-0.848516895,4.78333171,-0.848516895,-77.92098164,20
4.78333171,-0.848516895,4.78333171,-0.848516895,-77.92026111,19
4.78333171,-0.848516895,4.78333171,-0.848516895,-77.92469151,19
0.980942802,-0.194296728,0.988012156,5.380431587,-77.93317479,23
0.988012156,5.380431587,0.988012156,8.661681587,-77.93544225,21
0.988012156,8.661681587,0.988012156,8.661681587,-77.93496041,21
0.265065936,0.964230289,-0.984934064,8.464230289,-77.92498464,19
-0.984934064,8.464230289,-0.984934064,8.932980289,-77.93565267,21
-0.984934064,8.932980289,-0.984934064,8.932980289,-77.9371131,21
0.915426608,0.402484938,0.892136302,8.85234746,-77.93185774,22
0.892136302,8.85234746,0.892136302,8.85234746,-77.9348089,21
0.892136302,8.85234746,0.892136302,5.10234746,-77.9343265,22
-0.692151296,-0.721752439,-3.192151296,6.778247561,-77.92997693,22
-3.192151296,6.778247561,-3.192151296,6.778247561,-77.92817317,21
-3.192151296,6.778247561,-3.192151296,6.778247561,-77.92659102,21
-0.595056749,-0.803683685,-3.095056749,6.696316315,-77.92489677,22
-3.095056749,6.696316315,-3.095056749,4.821316315,-77.92538464,21
-3.095056749,4.821316315,-3.095056749,6.696316315,-77.93054369,20
-0.132229018,0.991219192,-0.038595853,8.216255475,-77.93060085,19
-0.038595853,8.216255475,0.273904147,8.216255475,-77.93290125,21
0.273904147,8.216255475,0.273904147,8.216255475,-77.9330503,21
-0.898979734,-0.437990226,-0.917797091,5.137393056,-77.93420389,22
-0.917797091,5.137393056,-0.917797091,8.887393056,-77.93552559,22
-0.917797091,8.887393056,-0.917797091,5.137393056,-77.93605635,22
-0.741714725,-0.670715489,-3.241714725,6.829284511,-77.92903017,22
-3.241714725,6.829284511,-3.241714725,6.829284511,-77.92744104,21
-3.241714725,6.829284511,-3.241714725,6.829284511,-77.92833551,21
0.957187889,0.289467347,0.938364026,8.740257227,-77.9367312,22
0.938364026,8.740257227,0.938364026,8.740257227,-77.93476815,21
0.938364026,8.740257227,0.938364026,8.740257227,-77.93716921,21
